"Date","Distress","External.factors","Personal.Illness","total.Humi","total.temp","total.wind","total.rain","total.dew","total.snow","snow_YN"
2013031616,"1","0","0",27.75,10.775,1.5,0,-5.75,0,0
2013031616,"1","1","0",27.75,10.775,1.5,0,-5.75,0,0
2013031712,"0","1","0",32,11.525,2.475,0,-2.775,0,0
2013031715,"1","0","0",16.25,13.7,2.1,0,-10.125,0,0
2013031816,"0","0","0",57,9.25,3.675,0,3.1,0,0
2013032311,"1","0","0",43,5.5,0.95,0,-5,0,0
2013032315,"1","1","0",22.5,10.325,1.925,0,-8.25,0,0
2013032316,"1","1","0",23,10,2.075,0,-7.85,0,0
2013032317,"1","0","0",26.25,9.35,2.475,0,-6.725,0,0
2013032412,"1","1","0",30.5,6.3,2.2,0,-8.025,0,0
2013032413,"0","1","0",32.75,6.6,3.15,0,-6.875,0,0
2013032415,"1","0","0",32.5,7.8,2.6,0,-5.7,0,0
2013032718,"0","0","0",15,9.675,2.825,0,-13.275,0,0
2013032814,"0","0","0",30.75,10.225,2.475,0,-4.15,0,0
2013033009,"1","1","0",33.75,2.85,2.725,0,-9.425,0,0
2013033013,"1","0","0",19.75,8.25,1.275,0,-12,0,0
2013033014,"0","0","0",17.5,7.35,2.575,0,-13.575,0,0
2013033014,"1","0","0",17.5,7.35,2.575,0,-13.575,0,0
2013033015,"1","1","0",22.75,6.05,3.55,0,-11.175,0,0
2013033018,"1","0","0",64.25,2.05,1.95,0,-1.875,0,0
2013033113,"1","0","0",26.5,8.1,2.125,0,-7.875,0,0
2013033114,"0","0","0",24.5,9.175,1.8,0,-8.325,0,0
2013033115,"1","0","0",22.25,9.125,1.975,0,-9.025,0,0
2013033117,"1","0","0",23.75,9.8,2.125,0,-7.7,0,0
2013040415,"1","1","0",24.5,17.075,1.6,0,-0.95,0,0
2013040712,"1","1","0",48,2.675,3.475,0,-4.35,0,0
2013040714,"0","1","0",39.25,4.075,3.3,0,-4.55,0,0
